title,price,rating,oprice,brand,New_Price,New_Rating,New_Oprice
USM ID116 Smart Watch Smart Bracelet Fitness Tracker Color Screen Smartwatch Heart Rate Blood Pressure Pedometer Sleep Monitor  ,329,4.4,₹329,USM,329,4.4,329
"boAt Xtend Smartwatch Batman Edition with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM(Knight Black)  ","1,299",4.1,"₹1,299",boAt,1299,4.1,1299
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)  ","1,499",4.0,"₹1,499",boAt,1499,4.0,1499
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(42.9cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Champagne Grey)  ","1,299",4.0,"₹1,299",Noise,1299,4.0,1299
Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED  ,284,3.8,₹284,Shocknshop,284,3.8,284
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054  ,397,4.0,₹397,LOUIS DEVIN,397,4.0,397
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt,1799,4.3,1799
SHREENOVA® ID116 Plus Bluetooth Fitness Smart Watch for Men Women and Kids Activity Tracker (Black)  ,399,3.1,₹399,Generic,399,3.1,399
"boAt Wave Prime47 Smart Watch with 1.69"" HD Display, 700+ Active Modes, ASAP Charge, Live Cricket Scores, Crest App Health Ecosystem, HR & SpO2 Monitoring(Matte Black)  ","1,199",3.4,"₹1,199",boAt,1199,3.4,1199
"Tokdis MX-1 Pro Bluetooth Calling Smartwatch - 1.69” LCD Display, Multiple Watch Faces, Sleep Monitor, Heart & SpO2 Monitoring, Multiple Sports Modes  ",799,3.1,₹799,Tokdis,799,3.1,799
Analog Day Date Functioning Stainless Steel Chain Watch for Men  ,319,3.8,₹319,TIMEWEAR,319,3.8,319
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO,289,4.1,289
"boAt Newly Launched Wave Armour with 1.83” HD Display, Bluetooth Calling, Rugged Design, HR, SpO2 & Sleep Monitoring, Multiple Sports Modes, Multiple Watch Faces(Olive Green)  ","2,199",4.6,"₹2,199",boAt,2199,4.6,2199
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Galaxy Blue)  ","1,499",4.0,"₹1,499",boAt,1499,4.0,1499
"Hammer Ace 3.0 Bluetooth Calling Smart Watch with Largest 1.85"" IPS Display, Dual Mode, Spo2, Heart Rate, Strong Metallic Body & Skin Friendly Strap (Black)  ","1,499",4.5,"₹1,499",Hammer,1499,4.5,1499
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt,2499,4.0,2499
"Bouncefit D20 Y68 Fitness Band Smartwatch – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch for Boys and Girls – Jet Black  ",480,3.0,₹480,Bouncefit,480,3.0,480
IBS Ultra Seris 8 Smart Watch Men Two Watch NFC Door Unlock Smartwatch Bluetooth Call Wireless Charge Fitness Bracelet (Ultra T-800 Orange)  ,"1,799",3.2,"₹1,799",IBS,1799,3.2,1799
Vintage Series Digital Dial Men's & Women's Watch  ,299,2.7,₹299,MIVAAN,299,2.7,299
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" Display, 150+ Cloud Watch Face, SPo2, Heart Rate Tracking, 100 Sports Mode with Auto Detection, Longer Battery (Midnight Blue)  ","1,699",4.1,"₹1,699",Noise,1699,4.1,1699
Analog Day & Date Display Wrist Watch for Men & Boys (Black)  ,299,3.6,₹299,Matrix,299,3.6,299
Krishna Analog Analog Watch - for Boys & Girls  ,224,5.0,₹224,Generic,224,5.0,224
"Fire-Boltt Ring 3 Smart Watch 1.8"" Biggest Display Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring  ","1,999",4.2,"₹1,999",Fire-Boltt,1999,4.2,1999
"Smart Watch for men women boys 1.3"" OLED HD Display, Multiple watch Faces, SpO2 Monitoring, Sleep Monitor for Boys, Girls, Mens, Women & Kids for all Smartphones (ID 116 Plus Black) (ID116 Black)  ",432,4.6,₹432,LOCREST,432,4.6,432
Kids Black Dial Digital Watch Date and Time Watch with M4 White Band Watch for Kids Boys and Girls (Pack of-2) (White) (White)  ,299,3.3,₹299,Oculus,299,3.3,299
Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219  ,285,3.8,₹285,Shocknshop,285,3.8,285
WT005 Stainless Steel Chain Analog Wrist Watch for Men  ,359,3.9,₹359,LOUIS DEVIN,359,3.9,359
Simple Sport Digital Men’s Military Watches Electronic LED Time Black Wrist Watch  ,449,3.8,₹449,Shocknshop,449,3.8,449
Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap)  ,266,3.6,₹266,REDUX,266,3.6,266
Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Mens Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch  ,189,3.8,₹189,SELLORIA,189,3.8,189
Analogue - Digital Men's Watch (Black Dial Black Colored Strap)  ,799,3.8,₹799,V2A,799,3.8,799
Analogue Black Dial Men's Watch - SS-GR918-BLK-BLK  ,149,2.5,₹149,SWISSTYLE,149,2.5,149
Digital Dial Men's & Women's Watch(AB206-VSD)  ,299,2.3,₹299,CERO,299,2.3,299
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ","2,499",4.0,"₹2,499",Fire-Boltt,2499,4.0,2499
Multi Dial Chronograph Luxury Quartz Analog Watch for Men  ,339,3.7,₹339,SWADESI STUFF,339,3.7,339
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)  ","1,299",4.0,"₹1,299",Noise,1299,4.0,1299
Analog Men's Watch (Multicolor Dial Multi Colored Strap)  ,129,3.1,₹129,hamt,129,3.1,129
"boAt Matrix Smart Watch with 1.65” AMOLED Display, Always On Mode, Slim Premium Design, Heart Rate & SpO2 Monitoring, Health Ecosystem & Multiple Sports Modes, 3ATM & 7 Days Battery Life(Pitch Black)  ","1,499",3.9,"₹1,499",boAt,1499,3.9,1499
Premium Casual Stylish Watch | Luxury Working Chronograph Watch for Men | Water-Resistant Branded Men's Wrist Watch with Stopwatch & Date Display - Timegrapher Red Leather Watch  ,"1,109",3.0,"₹1,109",Sylvi,1109,3.0,1109
New Edition i7 Pro Max All in One Series 7 Smart Watch with Fitness Tracker Heart Monitor Men Women Smart Watch Black  ,619,3.2,₹619,Generic,619,3.2,619
New LED Square Digital Watch for Boys & Girls  ,99,2.7,₹99,RPS FASHION WITH DEVICE OF R,99,2.7,99
"SHREENOVA XA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor,Sports Gym Watch for All Boys & Girls - Black  ",295,3.0,₹295,Generic,295,3.0,295
Analog Men's Watch (Brown Dial Brown Colored Strap)  ,299,3.6,₹299,SWISSTONE,299,3.6,299
"OLICOM M1 Smart Watch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor  ",499,3.6,₹499,OLICOM,499,3.6,499
The Watch (Fourteen Tales of Thirteen Covens Book 5)  ,0,5.0,₹0,Audrey Brice,0,5.0,0
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)  ","1,799",4.1,"₹1,799",boAt,1799,4.1,1799
Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sport's Watches for Men's Kids Watch for Boys - Watches for Men  ,275,3.8,₹275,Acnos,275,3.8,275
"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Pink)  ","1,099",3.2,"₹1,099",pTron,1099,3.2,1099
"pTron Force X12S Bluetooth Calling Smartwatch, 1.85"" Full Touch HD Display, Functional Crown, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Battery Life, Fitness Trackers & IP68 Waterproof (Pink)  ","1,199",3.2,"₹1,199",pTron,1199,3.2,1199
"OLICOM M1 Smart Watch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor  ",499,3.6,₹499,OLICOM,499,3.6,499
LED Digital Watch Good Looking Black Watch for Boys & Girls (Black Color)  ,95,2.9,₹95,Generic,95,2.9,95
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)  ","1,799",4.1,"₹1,799",boAt,1799,4.1,1799
Analog Women's Watch (Blue Dial Silver Colored Strap).  ,327,4.0,₹327,SWISSTONE,327,4.0,327
Analogue Men's Watch(Gold Dial Silver Colored Strap)-S1089-2  ,"4,099",4.0,"₹4,099",FORSINING,4099,4.0,4099
Karishma Analog Black Dial Men's Watch-NL1636SM01  ,"1,615",4.1,"₹1,615",Titan,1615,4.1,1615
Neo Analog Dial Men's Watch  ,"4,194",4.3,"₹4,194",Titan,4194,4.3,4194
Diamond Studded Stylish Analogue Watch with Rose Gold Dot Bracelet for Girls & Women  ,240,3.8,₹240,ZUPERIA,240,3.8,240
Analogue Silver Dial Day and Date Men's Boy's Watch - Dexter0507  ,241,3.4,₹241,Espoir,241,3.4,241
"AYL Smart Watch New Generation for You ID116 Touchscreen Android Smart Watch Bluetooth Smartwatch with Heart Rate Sensor and Basic Functionality for All Women, Men, Boys & Girls - Black  ",499,3.4,₹499,AYL,499,3.4,499
Axial Digital Black Dial Men's Watch-DZT2017  ,"10,397",3.8,"₹10,397",Diesel,10397,3.8,10397
Analog Dial Men's Watch  ,"1,894",4.2,"₹1,894",Titan,1894,4.2,1894
"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Pink)  ","1,099",3.2,"₹1,099",pTron,1099,3.2,1099
LED Digital Sports Multi Functional Black Dial Watch for Mens Boys -W1257  ,449,3.4,₹449,Shocknshop,449,3.4,449
"MARVIK Smart Watch D116 for Xiaomi Mi Note 10 Smart Watch LED with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys Girls  ",449,3.1,₹449,MARVIK,449,3.1,449
Brand - Analogue Men's Watch (Black Dial Multi Colored Strap) (1.Gold)  ,295,3.7,₹295,Acnos,295,3.7,295
RPM Analog Grey Dial Men's Watch-NN77031SL03/NP77031SL03  ,"1,699",4.1,"₹1,699",Sonata,1699,4.1,1699
Square Multi DIAL Analog Silicon Strap ADDI Stylish Designer Analog Watch - for Boys  ,189,3.5,₹189,SWADESI STUFF,189,3.5,189
"AYL Waterproof D-20 Touch Screen Smart Watch Bluetooth Smartwatch with Blood Pressure Tracking, Heart Rate Sensor and Basic Functionality for All Women and Girls (Pink)  ",470,3.3,₹470,AYL,470,3.3,470
Multi Functional Sports Digital Multicolor Dial Men's Watch  ,199,3.6,₹199,ASGARD,199,3.6,199
"Smart Watch for men women boys 1.3"" OLED HD Display, Multiple watch Faces, SpO2 Monitoring, Sleep Monitor for Boys, Girls, Mens, Women & Kids for all Smartphones (ID 116 Plus Black) (ID116 Black)  ",432,4.6,₹432,LOCREST,432,4.6,432
